curve,cutoff,direction_modes,field_halfband,gradient_halfband,kd,max_mode,penalty,tolerance
ellipse,24,[1, 2],16,16,10.0,2,0,1e-06
ellipse,24,[2, 3, -2, 1],16,18,10.0,3,2,1e-06
ellipse,24,[5, 6],16,20,10.0,6,4,1e-06
ellipse,24,[9, 10],16,22,10.0,10,6,1e-06
ellipse,24,[14, 15],16,26,10.0,15,10,1e-06
ellipse,54,[1, 2],36,36,30.0,2,0,1e-06
ellipse,54,[2, 3, -2, 1],36,38,30.0,3,2,1e-06
ellipse,54,[5, 6],36,38,30.0,6,2,1e-06
ellipse,54,[9, 10],36,40,30.0,10,4,1e-06
ellipse,54,[14, 15],36,42,30.0,15,6,1e-06
kite,36,[1, 2],23,24,10.0,2,1,1e-06
kite,36,[2, 3, -2, 1],23,25,10.0,3,2,1e-06
kite,36,[5, 6],23,28,10.0,6,5,1e-06
kite,36,[9, 10],23,30,10.0,10,7,1e-06
kite,36,[14, 15],23,34,10.0,15,11,1e-06
kite,81,[1, 2],48,50,30.0,2,2,1e-06
kite,81,[2, 3, -2, 1],48,50,30.0,3,2,1e-06
kite,81,[5, 6],48,52,30.0,6,4,1e-06
kite,81,[9, 10],48,54,30.0,10,6,1e-06
kite,81,[14, 15],48,56,30.0,15,8,1e-06
crescent,36,[1, 2],26,28,10.0,2,2,1e-06
crescent,36,[2, 3, -2, 1],26,28,10.0,3,2,1e-06
crescent,36,[5, 6],26,31,10.0,6,5,1e-06
crescent,36,[9, 10],26,34,10.0,10,8,1e-06
crescent,36,[14, 15],26,39,10.0,15,13,1e-06
crescent,81,[1, 2],55,57,30.0,2,2,1e-06
crescent,81,[2, 3, -2, 1],55,59,30.0,3,4,1e-06
crescent,81,[5, 6],55,60,30.0,6,5,1e-06
crescent,81,[9, 10],55,64,30.0,10,9,1e-06
crescent,81,[14, 15],55,67,30.0,15,12,1e-06
